isbn,original_title,original_publication_year,authors,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
439023483,The Hunger Games,2008.0,Suzanne Collins,66715,127936,560092,1481305,2706317
439554934,Harry Potter and the Philosopher's Stone,1997.0,"J.K. Rowling, Mary GrandPré",75504,101676,455024,1156318,3011543
316015849,Twilight,2005.0,Stephenie Meyer,456191,436802,793319,875073,1355439
61120081,To Kill a Mockingbird,1960.0,Harper Lee,60427,117415,446835,1001952,1714267
743273567,The Great Gatsby,1925.0,F. Scott Fitzgerald,86236,197621,606158,936012,947718
525478817,The Fault in Our Stars,2012.0,John Green,47994,92723,327550,698471,1311871
618260307,The Hobbit or There and Back Again,1937.0,J.R.R. Tolkien,46023,76784,288649,665635,1119718
316769177,The Catcher in the Rye,1951.0,J.D. Salinger,109383,185520,455042,661516,709176
1416524797,Angels & Demons ,2000.0,Dan Brown,77841,145740,458429,716569,680175
679783261,Pride and Prejudice,1813.0,Jane Austen,54700,86485,284852,609755,1155673
1594480001,The Kite Runner ,2003.0,Khaled Hosseini,34288,59980,226062,628174,929591
62024035,Divergent,2011.0,Veronica Roth,36315,82870,310297,673028,1114304
451524934,Nineteen Eighty-Four,1949.0,"George Orwell, Erich Fromm, Celâl Üster",41845,86425,324874,692021,908229
452284244,Animal Farm: A Fairy Story,1945.0,George Orwell,66854,135147,433432,698642,648912
553296981,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,1947.0,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",45225,91270,355756,656870,875372
307269752,Män som hatar kvinnor,2005.0,"Stieg Larsson, Reg Keeland",54835,86051,285413,667485,836050
439023491,Catching Fire,2009.0,Suzanne Collins,10492,48030,262010,687238,980309
043965548X,Harry Potter and the Prisoner of Azkaban,1999.0,"J.K. Rowling, Mary GrandPré, Rufus Beck",6716,20413,166129,509447,1266670
618346252, The Fellowship of the Ring,1954.0,J.R.R. Tolkien,38031,55862,202332,493922,1042394
439023513,Mockingjay,2010.0,Suzanne Collins,30144,110498,373060,618271,738775
439358078,Harry Potter and the Order of the Phoenix,2003.0,"J.K. Rowling, Mary GrandPré",9528,31577,180210,494427,1124806
316166685,The Lovely Bones,2002.0,Alice Sebold,62777,131188,404699,583575,479323
439064864,Harry Potter and the Chamber of Secrets,1998.0,"J.K. Rowling, Mary GrandPré",8253,42251,242345,548266,1065084
439139600,Harry Potter and the Goblet of Fire,2000.0,"J.K. Rowling, Mary GrandPré",6676,20210,151785,494926,1195045
545010225,Harry Potter and the Deathly Hallows,2007.0,"J.K. Rowling, Mary GrandPré",9363,22245,113646,383914,1318227
307277674,The Da Vinci Code,2003.0,Dan Brown,71345,126493,340790,539277,479387
439785960,Harry Potter and the Half-Blood Prince,2005.0,"J.K. Rowling, Mary GrandPré",7308,21516,136333,459028,1161491
140283331,Lord of the Flies ,1954.0,William Golding,92779,160295,425648,564916,427846
743477111,An Excellent conceited Tragedie of Romeo and Juliet,1595.0,"William Shakespeare, Robert           Jackson",57980,153179,452673,519822,489235
297859382,Gone Girl,2012.0,Gillian Flynn,38874,80807,280331,616031,610476
399155341,The Help,2009.0,Kathryn Stockett,10235,25117,134887,490754,942552
142000671,Of Mice and Men ,1937.0,John Steinbeck,46630,110856,355169,532291,473795
739326228,Memoirs of a Geisha,1997.0,Arthur Golden,23500,59033,258700,517157,559782
1612130291,Fifty Shades of Grey,2011.0,E.L. James,165455,152293,252185,294976,571909
61122416,O Alquimista,1988.0,"Paulo Coelho, Alan R. Clarke",74846,123614,289143,412180,504212
385732554,The Giver,1993.0,Lois Lowry,26497,59652,225326,448691,585279
60764899,"The Lion, the Witch and the Wardrobe",1950.0,C.S. Lewis,19309,55542,262038,513366,734629
965818675,The Time Traveler's Wife,2003.0,Audrey Niffenegger,44339,85429,257805,427210,493884
553588486,A Game of Thrones,1996.0,George R.R. Martin,19988,28983,114092,404583,874574
143038419,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",2006.0,Elizabeth Gilbert,100373,149549,310212,332191,314272
786838655,The Lightning Thief,2005.0,Rick Riordan,18303,48294,219638,435514,689365
451529308,Little Women,1868.0,Louisa May Alcott,31645,70011,250794,426280,535563
142437204,Jane Eyre,1847.0,"Charlotte Brontë, Michael Mason",35132,64274,212294,400214,574221
553816713,The Notebook,1996.0,Nicholas Sparks,41395,63432,176469,298259,497194
770430074,Life of Pi,2001.0,Yann Martel,39768,74331,218702,384164,360466
1565125606,Water for Elephants,2006.0,Sara Gruen,16705,49832,200154,417328,424820
375831002,The Book Thief,2005.0,Markus Zusak,17892,35360,135272,377218,722056
307347974,Fahrenheit 451,1953.0,Ray Bradbury,28366,64289,238242,426292,419051
316160199,"New Moon (Twilight, #2)",2006.0,Stephenie Meyer,102837,160660,294207,290612,350684
60513039,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,1974.0,Shel Silverstein,16590,30792,139024,293222,544153
1416914285,City of Bones,2007.0,Cassandra Clare,34122,65349,203466,356048,582814
316160202,Eclipse,2007.0,Stephenie Meyer,83094,124293,260763,309358,399134
375826696,Eragon,2002.0,Christopher Paolini,50563,88536,240157,337943,408032
345391802,The Hitchhiker's Guide to the Galaxy,1979.0,Douglas Adams,21764,41962,145173,299579,498001
60929871,Brave New World,1932.0,Aldous Huxley,26367,60328,219895,389379,383166
031606792X,Breaking Dawn,2008.0,Stephenie Meyer,100994,114893,213402,267706,410714
142001740,The Secret Life of Bees,2001.0,Sue Monk Kidd,17500,45455,185631,347540,341267
142437174,The Adventures of Huckleberry Finn,1884.0,"Mark Twain, John Seelye, Guy Cardwell",28467,76630,255722,344356,296316
64410935,Charlotte's Web,1952.0,"E.B. White, Garth Williams, Rosemary Wells",18450,41124,191415,346090,487763
1400032717,The Curious Incident of the Dog in the Night-Time,2003.0,Mark Haddon,21049,58117,218218,355925,262481
1594633665,The Girl on the Train,2015.0,Paula Hawkins,27773,73897,273817,488447,362551
679879242,Northern Lights,1995.0,Philip Pullman,38382,64591,198764,313147,380030
393978893,Wuthering Heights,1847.0,"Emily Brontë, Richard J. Dunn",46469,84084,215320,309180,346082
743454537,My Sister's Keeper,2004.0,Jodi Picoult,17547,42763,162573,314003,350994
385333846,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",1969.0,Kurt Vonnegut Jr.,24964,45518,152442,300948,367890
446675539,Gone with the Wind,1936.0,Margaret Mitchell,19996,33136,116160,234290,493721
1594489505,A Thousand Splendid Suns,2007.0,Khaled Hosseini,6509,18015,99030,295817,446694
671027344,The Perks of Being a Wallflower,1999.0,Stephen Chbosky,14286,38658,143440,297501,461020
7442912,Insurgent,2012.0,Veronica Roth,10641,44620,182131,339977,369969
812550706,Ender's Game,1985.0,Orson Scott Card,15330,27612,103439,264207,462829
141439475,"Frankenstein; or, The Modern Prometheus",1818.0,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",29366,74142,231022,300495,248538
450040186,The Shining,1977.0,Stephen King,18487,28981,123862,277393,382158
316068047,The Host,2008.0,Stephenie Meyer,44215,62501,154906,227180,288758
142402516,Looking for Alaska,2005.0,John Green,16940,44232,147324,262932,359857
014028009X,,1996.0,Helen Fielding,28973,59309,198555,254836,212825
141439661,Sense and Sensibility,1811.0,"Jane Austen, Tony Tanner, Ros Ballaster",18430,34699,141987,272512,311754
439244196,Holes,1998.0,"Louis Sachar, Louis Sachar",15495,43786,176946,269153,259257
307275558,The Devil Wears Prada,2003.0,Lauren Weisberger,24231,58323,192366,226675,178250
143039954,Ὀδύσσεια,-720.0,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",29703,65629,183082,224120,208223
